SAP,Material Description,routing time,Class,Class Code
500330800,Base cable_Verpacktisch-VW48-Motor_2,480.0,Very High,4
500330801,Base cable_Verpacktisch-VW48-Motor_3,480.0,Very High,4
500190998,Basis G1421020 DRX300,45.0,Low,1
500417781,Basisblock for mounting holder form 148,15.0,Low,1
500420019,"Blindhalter_212,5x85.für.DTDN_CAN_1Fach",15.0,Low,1
500353303,BlockKombi Module Molding prot Volschutz,5.0,Low,1
500129400,Blue pneumatic tubeØ6/4x900mm PUN-6X1,0.2,Low,1
500230043,"BPA  B0002477 or B00004252,DRX732",10.0,Low,1
500364127,BPA 2x8B001775.ANW DRX732,45.0,Low,1
500321578,"BPA 2XB0000587,A,ANW DRX740",40.0,Low,1
500308595,"BPA 2xB0000587,A,ANW Wellrohr 10mmDRX732",15.0,Low,1
500380946,"BPA 2xB0000588,A,Clip zuClip 10mm DRX732",20.0,Low,1
500340577,"BPA 4E0035750/750A/750B/750D,A DRX740",20.0,Low,1
500558944,BPA 4F0927905D_F0103855 DRX732,9.3,Low,1
500326234,BPA 4xB0000589 DRX733,50.0,Low,1
500309881,"BPA 6Q0035576,A,alle Kod DRX732",25.0,Low,1
500332606,"BPA 6Q0035576,alle Kod,A DRX740",15.0,Low,1
500204651,"BPA 6Q0035576C, lage B DRX330",32.0,Low,1
500350053,"BPA 6Q0035608G,K.1=125; K.2=145; DRX732",20.0,Low,1
500365614,"BPA 6Q0035608G,K.1=145; K.2=125; DRX732",30.0,Low,1
500218017,"BPA 6Q0035672A,D Anw. DRX731",25.0,Low,1
500392041,"BPA 6Q0035674,D,ohneKodierungfarb.DRX732",10.0,Low,1
500340685,"BPA 6Q0035674B,6Q0035674C,D DRX740",10.0,Low,1
500224691,"BPA 8B000093,8B000094 DRX733",15.0,Low,1
500224692,BPA 8B000763 DRX733,7.0,Low,1
500254686,"BPA 8B001383,D Sonder",80.0,Low,1
500322813,BPA 8B001718 DRX732,8.0,Low,1
500353560,"BPA 8B001765,ANW DRX733",40.0,Low,1
500320948,"BPA 8B001777,8B001510,ANW DRX733",41.0,Low,1
500353666,"BPA 8B001797,ANW DRX732",30.0,Low,1
500354424,"BPA 8B001985,ANW DRX732",20.0,Low,1
500370105,"BPA 8B002152,ANW DRX736",70.0,Low,1
500422095,"BPA 8B002256,ANW,mit 4 KS DRX737",120.0,Low,1
500401528,"BPA 8B002257,Anw DRX732",9.0,Low,1
500401529,"BPA 8B002260,Anw DRX732",32.0,Low,1
500440683,"BPA 8B002693,H 125mm-140mm,SLS DRX737",30.0,Low,1
500492650,"BPA 8B002694,8B002974 o.8B003094 DRX737",40.0,Low,1
500539075,"BPA 8B002915,F0103324_4M0972562 DRX737",38.0,Low,1
500551915,"BPA 8B003443/135/027,G94,H=150mm DR737",118.0,Low,1
500572820,"BPA 8B004198 or 8B004197,H=210mm DRX737",30.0,Low,1
500402684,"BPA 8B010007,F0121199,ANW DRX736 Sonder",32.0,Low,1
500492937,"BPA 8G000170,G9422009,G9122001 DRX737",380.0,High,3
500562267,BPA 8G000470 DRX737,200.0,Medium,2
500228450,BPA 8T000101 DRX732,10.0,Low,1
500319931,"BPA 8T000101,A,ANW DRX740",15.0,Low,1
500477938,"BPA 8T000104,B DRX740",15.0,Low,1
500228447,BPA 8T000105 DRX732,15.0,Low,1
500319886,"BPA 8T000105,A,ANW DRX740",15.0,Low,1
500317637,"BPA 8T000109,A DRX732",9.0,Low,1
500230452,"BPA 8T000147,A,H255 DRX733",25.0,Low,1
500230464,BPA 8T000148 DRX733,31.0,Low,1
500319889,"BPA 8T000153,A,ANW DRX740",15.0,Low,1
500233727,"BPA 8T000156,A DRX732",60.0,Low,1
500248265,"BPA 8T000156,A DRX732 mirror",60.0,Low,1
500332479,"BPA 8T000156,A DRX740",25.0,Low,1
500332480,"BPA 8T000156,A,spiegel DRX740",30.0,Low,1
500374235,"BPA 8T000165,ANW DRX732 HV",6.0,Low,1
500544445,"BPA 8T000287,A DRX740",45.0,Low,1
500544458,"BPA 8T000287,Spiegel DRX740",15.0,Low,1
500376772,"BPA 8T000311,Spiegel DRX732",10.0,Low,1
500418465,BPA 8T000335 DRX740,30.0,Low,1
500347065,"BPA 8T000335,2xMikroschalter DRX732",20.0,Low,1
500334782,"BPA 8T000335,seitlich DRX732",12.0,Low,1
500348590,"BPA 8V0035750C,sch.seele,p6,7 DRX731",30.0,Low,1
500571530,"BPA A4416901,S8100118,H=125mm DRX737",15.0,Low,1
500379892,"BPA A4510905,ANW DRX732",10.0,Low,1
500379867,"BPA A4510906,ANW DRX732",5.0,Low,1
500379879,"BPA A4510907,ANW DRX732",10.0,Low,1
500572769,"BPA A4511701_S8100118, B DRX737",25.0,Low,1
500559006,BPA A4512721 DRX740,18.0,Low,1
500559003,BPA A4512722 DRX740,35.0,Low,1
500413608,"BPA A4512963,B,ANW DRX732",20.0,Low,1
500559051,"BPA A4513103,S8100150 DRX740",20.0,Low,1
500441497,BPA A4516924 DRX731,15.0,Low,1
500454301,"BPA A4516933,Winkel KS,90° DRX731",37.0,Low,1
500559035,"BPA A4517713,S8100173 DRX740",20.0,Low,1
500554679,"BPA A4517714,S8100173 DRX740",30.0,Low,1
500554670,"BPA A4517715,S8100173 DRX740",15.0,Low,1
500572790,"BPA A4517909_S7600120, B DRX737",15.0,Low,1
500420911,BPA A4812111 DRX740,20.0,Low,1
500531113,BPA A4812721 DRX740,15.0,Low,1
500536594,BPA A4812972 DRX740,15.0,Low,1
500536672,BPA A4812978 DRX740,15.0,Low,1
500421094,"BPA A4812988,LageA DRX731",25.0,Low,1
500536671,BPA A4812992 DRX740,15.0,Low,1
500548836,"BPA A4813729,S8100090,A DRX740",20.0,Low,1
500554600,"BPA A4813732_S8100121,A DRX740",15.0,Low,1
500554589,"BPA A4813733_S8100121, A DRX740",15.0,Low,1
500547601,"BPA A4813735,S8100121,A DRX740",15.0,Low,1
500556488,"BPA A4813905,A,H=125mm DRX737",30.0,Low,1
500556573,"BPA A4816114,A DRX737",25.0,Low,1
500544391,"BPA A4816718,B DRX740",15.0,Low,1
500536689,BPA A4816724 DRX740,15.0,Low,1
500557553,"BPA A4816905, A DRX737",15.0,Low,1
500493567,"BPA A4816929,A DRX740",15.0,Low,1
500441162,BPA A4816945 DRX731,43.0,Low,1
500559294,"BPA A4817725_S8100173,A DRX740",15.0,Low,1
500315659,"BPA A4817916,A,ANW DRX736",54.0,Low,1
500517620,"BPA A4817916,A4817925 DRX740",20.0,Low,1
500487849,"BPA A4817916,H=300mm DRX737",50.0,Low,1
500468746,BPA A4817919 DRX737,25.0,Low,1
500555735,"BPA A4817919 or A4817916,H=300mm DRX737",20.0,Low,1
500416549,"BPA A4817919,A DRX732",20.0,Low,1
500544390,"BPA A4817920,B DRX740",15.0,Low,1
500551531,"BPA A4817920,H=125mm  DRX737",45.0,Low,1
500571590,"BPA A4817922,A,H=125mm DRX737",25.0,Low,1
500483243,BPA A4817925 DRX730,10.0,Low,1
500536946,BPA A9900232 DRX740_TEOC-472,20.0,Low,1
500539586,"BPA A9900232,S DRX740",20.0,Low,1
500531680,"BPA A9900303,S8100098 DRX740",35.0,Low,1
500305135,BPA Abfrage Verlegung DRX732,10.0,Low,1
500481304,BPA Abfrage_Leitungsverl.gerade DRX740,15.0,Low,1
500146000,"BPA B0000490, U  M12x1,25 DRX735",15.0,Low,1
500205672,"BPA B0000564,U DRX732",3.0,Low,1
500528276,"BPA B0000566,UO DRX740",25.0,Low,1
500377277,"BPA B0000588_B0000588.A,12mm DRX732",15.0,Low,1
500347959,"BPA B0000670,2MKS,Verrieg. DRX732",10.0,Low,1
500359301,"BPA B0000670,Spiegel DRX732",10.0,Low,1
500386299,"BPA B0000769,B0013013,S,ANW,L=14mmDRX740",25.0,Low,1
500211530,"BPA B0000793,U DRX733",10.0,Low,1
500487713,"BPA B0000793,U DRX737",15.0,Low,1
500487749,"BPA B0001074,UU DRX737",15.0,Low,1
500481420,"BPA B0001149,B0001771 DRX740",30.0,Low,1
500495650,"BPA B0001149,B0001771,ANW DRX740",40.0,Low,1
500481421,"BPA B0001149,G0000710 DRX740",25.0,Low,1
500487724,"BPA B0001339,UO DRX737",15.0,Low,1
500347321,"BPA B0001447,A Mirror,smaller,DRX732",10.0,Low,1
500364155,"BPA B0001447,DRX740",15.0,Low,1
500242434,"BPA B0001447,U DRX732",6.0,Low,1
500572721,"BPA B0001737,S,H=125mm DRX737",15.0,Low,1
500441098,"BPA B0001737,SO DRX732",14.0,Low,1
500317113,"BPA B0001739,G0000710,ANW DRX732",35.0,Low,1
500567153,"BPA B0001793,U exclude B0004252 DRX740",20.0,Low,1
500224693,BPA B0002284 DRX733,15.0,Low,1
500578794,"BPA B0002478,U,H=125mm DRX737",15.0,Low,1
500343079,"BPA B0003030,Z2100124,U,DRX732",25.0,Low,1
500571558,"BPA B0003039,U DRX740",15.0,Low,1
500481332,"BPA B0003190,U-Sonder DRX740",15.0,Low,1
500231200,"BPA B0003320,v732",15.0,Low,1
500152275,"BPA B0003432,SU_DRX733",15.0,Low,1
500205331,"BPA B0003432,US DRX733",8.0,Low,1
500402620,"BPA B0003468,ANW DRX732",15.0,Low,1
500556494,"BPA B0003608,UU,H=125mm DRX737",30.0,Low,1
500339686,"BPA B0003673,UO DRX732",13.95,Low,1
500224695,"BPA B0003772 ,U,H190,DRX733",31.0,Low,1
500420165,"BPA B0003772,B0013011,double,U DRX740",15.0,Low,1
500449522,"BPA B0003815,S DRX732",15.0,Low,1
500587305,"BPA B0003815,U exclude B0019196 DRX740",15.0,Low,1
500535457,"BPA B0003868,U DRX740",15.0,Low,1
